run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
9,157270,3498,3498,NEW_ORDER,0,0,0
9,157522,3689,3689,NEW_ORDER,0,0,0
9,160990,7978,7978,NEW_ORDER,0,0,0
9,162592,5069,5069,NEW_ORDER,0,0,0
9,168000,10730,10730,NEW_ORDER,0,0,0
9,169936,7344,7344,NEW_ORDER,0,0,0
9,171055,10064,10064,NEW_ORDER,0,0,0
9,171126,70,70,PAYMENT,0,0,0
9,173459,5458,5458,NEW_ORDER,0,0,0
9,175060,5124,5124,NEW_ORDER,0,0,0
9,175112,52,52,PAYMENT,0,0,0
9,175634,522,522,ORDER_STATUS,0,0,0
9,175677,43,43,PAYMENT,0,0,0
9,179604,6145,6145,NEW_ORDER,0,0,0
9,179686,82,82,PAYMENT,0,0,0
9,179733,47,47,PAYMENT,0,0,0
9,180333,4656,4656,NEW_ORDER,0,0,0
9,180505,9379,9379,NEW_ORDER,0,0,0
9,180564,59,59,PAYMENT,0,0,0
9,184503,4769,4769,NEW_ORDER,0,0,0
9,184951,4618,4618,NEW_ORDER,0,0,0
9,185056,553,553,STOCK_LEVEL,0,0,0
9,185090,34,34,PAYMENT,0,0,0
9,185120,29,29,PAYMENT,0,0,0
9,185152,31,31,PAYMENT,0,0,0
9,185199,47,47,PAYMENT,0,0,0
9,188440,7876,7876,NEW_ORDER,0,0,0
9,193618,8667,8667,NEW_ORDER,0,0,0
9,194063,444,444,ORDER_STATUS,0,0,0
9,194585,521,521,STOCK_LEVEL,0,0,0
9,195085,9885,9885,NEW_ORDER,0,0,0
9,195133,48,48,PAYMENT,0,0,0
9,195181,48,48,PAYMENT,0,0,0
9,195507,7066,7066,NEW_ORDER,0,0,0
9,195602,95,95,PAYMENT,0,0,0
9,195710,108,108,PAYMENT,0,0,0
9,195743,33,33,PAYMENT,0,0,0
9,195780,37,37,PAYMENT,0,0,0
9,200049,4268,4268,NEW_ORDER,0,0,0
9,200125,76,76,PAYMENT,0,0,0
9,200220,94,94,PAYMENT,0,0,0
9,202690,8104,8104,NEW_ORDER,0,0,0
9,205062,9881,9881,NEW_ORDER,0,0,0
9,207628,4938,4938,NEW_ORDER,0,0,0
9,207665,36,36,PAYMENT,0,0,0
9,207801,7581,7581,NEW_ORDER,0,0,0
9,207866,64,64,PAYMENT,0,0,0
9,207925,58,58,PAYMENT,0,0,0
9,213066,8003,8003,NEW_ORDER,0,0,0
9,213136,5211,5211,NEW_ORDER,0,0,0
9,213181,44,44,PAYMENT,0,0,0
9,217250,9585,9585,NEW_ORDER,0,0,0
9,217754,504,504,STOCK_LEVEL,0,0,0
9,219082,5900,5900,NEW_ORDER,0,0,0
9,220239,7172,7172,NEW_ORDER,0,0,0
9,220308,69,69,PAYMENT,0,0,0
9,220369,61,61,PAYMENT,0,0,0
9,220830,461,461,ORDER_STATUS,0,0,0
9,220906,75,75,PAYMENT,0,0,0
9,221525,3771,3771,NEW_ORDER,0,0,0
9,222193,667,667,STOCK_LEVEL,0,0,0
9,222768,575,575,STOCK_LEVEL,0,0,0
9,225597,6514,6514,NEW_ORDER,0,0,0
9,226658,5752,5752,NEW_ORDER,0,0,0
9,227280,4511,4511,NEW_ORDER,0,0,0
