tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,226,45.749%,9.963s,11.925s,5.0,0.442%,0,N/A
PAYMENT,208,42.105%,0.094s,9.987s,5.0,N/A,0,N/A
ORDER_STATUS,22,4.453%,0.668s,0.704s,5.0,N/A,0,N/A
STOCK_LEVEL,21,4.251%,0.732s,0.780s,20.0,N/A,0,N/A
DELIVERY,17,3.441%,0.000s,0.000s,5.0,N/A,0,N/A
DELIVERY_BG,17,N/A,11.548s,16.145s,80.0,N/A,0,0
tpmC,22.60,87.869%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,49.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A
