run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
3,117321,1236,1236,PAYMENT,0,0,0
3,117347,26,26,PAYMENT,0,0,0
3,117348,0,0,DELIVERY,0,0,0
3,117372,79,79,PAYMENT,0,0,0
3,122396,5048,5048,DELIVERY_BG,0,0,0
3,122397,0,0,DELIVERY,0,0,0
3,122817,5445,5445,NEW_ORDER,0,0,0
3,127472,5075,5075,DELIVERY_BG,0,0,0
3,127503,30,30,PAYMENT,0,0,0
3,127503,0,0,DELIVERY,0,0,0
3,128062,5244,5244,NEW_ORDER,0,0,0
3,132005,4502,4502,DELIVERY_BG,0,0,0
3,132555,4492,4492,NEW_ORDER,0,0,0
3,134594,2588,2588,NEW_ORDER,0,0,0
3,134594,0,0,DELIVERY,0,0,0
3,137317,4762,4762,NEW_ORDER,0,0,0
3,137369,52,52,PAYMENT,0,0,0
3,138906,4312,4312,DELIVERY_BG,0,0,0
3,138929,23,23,PAYMENT,0,0,0
3,139295,1926,1926,NEW_ORDER,0,0,0
3,139323,28,28,PAYMENT,0,0,0
3,141708,2385,2385,NEW_ORDER,0,0,0
3,141729,21,21,PAYMENT,0,0,0
3,141751,21,21,PAYMENT,0,0,0
3,142312,3383,3383,NEW_ORDER,0,0,0
3,144048,1736,1736,NEW_ORDER,0,0,0
3,144084,35,35,PAYMENT,0,0,0
3,144084,0,0,DELIVERY,0,0,0
3,146227,4476,4476,NEW_ORDER,0,0,0
3,147974,1747,1747,NEW_ORDER,0,0,0
3,147974,0,0,DELIVERY,0,0,0
3,147993,3909,3909,DELIVERY_BG,0,0,0
3,148020,27,27,PAYMENT,0,0,0
3,150312,2291,2291,NEW_ORDER,0,0,0
3,152038,4064,4064,DELIVERY_BG,0,0,0
3,152064,25,25,PAYMENT,0,0,0
3,153884,3572,3572,NEW_ORDER,0,0,0
3,153924,40,40,PAYMENT,0,0,0
3,156499,4435,4435,NEW_ORDER,0,0,0
3,156751,252,252,ORDER_STATUS,0,0,0
3,158387,4462,4462,NEW_ORDER,0,0,0
3,159276,2524,2524,NEW_ORDER,0,0,0
3,159300,24,24,PAYMENT,0,0,0
3,159327,26,26,PAYMENT,0,0,0
3,159352,25,25,PAYMENT,0,0,0
3,159353,0,0,DELIVERY,0,0,0
